feature,fraud_mean,fn_mean,fn_std,deviation_from_fraud,abs_deviation
V98,0.09049626986701265,0.14244396240057844,0.4278125116883342,0.15204818743416104,0.15204818743416104
V262,1.1141745053519299,1.0,0.2821254865466599,-0.1518745466568615,0.1518745466568615
V24,1.2007784625364903,1.1055676066522053,0.3408798624569046,-0.14981913263545635,0.14981913263545635
D6,23.14239377229971,11.642805495300072,61.60697487338341,-0.14928392680133928,0.14928392680133928
V179,1.5063250081089847,0.8054953000723066,4.448668334848902,-0.14876214469238438,0.14876214469238438
V77,1.5394096659098282,1.324656543745481,1.323621859778415,-0.14861035695322652,0.14861035695322652
V198,1.172234836198508,0.9797541576283442,0.1555372473749599,-0.1464271124350629,0.1464271124350629
V157,1.1819656179046383,0.96529284164859,0.31408569488770327,-0.14616142860578915,0.14616142860578915
V216,36.35520387012928,11.301086202360803,125.82617508383701,-0.14610746839355945,0.14610746839355945
V281,0.2653259811871554,0.4389009399855387,1.6596398946473447,0.14575209491874128,0.14575209491874128
V147,0.2789490755757379,0.04266088214027477,0.28529189859687565,-0.1453037320984652,0.1453037320984652
V148,1.1339604281543951,0.9515545914678236,0.24909991025337094,-0.1449044423785522,0.1449044423785522
V245,1.3467401881284464,0.9631236442516269,1.2620244532460738,-0.14283055019867397,0.14283055019867397
V296,0.2361336360687642,0.3897324656543745,1.5109188224858523,0.14255363878668745,0.14255363878668745
V139,1.2533246837495946,1.0289226319595084,0.529070324840047,-0.14220000377987413,0.14220000377987413
V254,1.204022056438534,1.0115690527838033,0.2549295398744948,-0.142081447641861,0.142081447641861
V62,1.012974375608174,0.9457700650759219,0.4995893790609901,-0.14188069708066423,0.14188069708066423
V155,1.1586117418099253,0.9515545914678236,0.24909991025337094,-0.14186480624110792,0.14186480624110792
C8,9.735971456373662,2.5755603759942156,33.28413238831336,-0.1416208990867219,0.1416208990867219
V178,1.7077521894258838,0.970354302241504,5.07810091660668,-0.14097877063320519,0.14097877063320519
