feature,xgb_gain,shap_mean_abs,perm_importance,mutual_info,xgb_gain_norm,shap_mean_abs_norm,perm_importance_norm,mutual_info_norm,composite_score
C9,109.75313568115234,0.041238118,0.0003327170563090842,0.011615766528749516,0.01602846473511196,0.1602875,0.06591073755857153,0.3407142512978889,0.14573523825484197
V219,28.465190887451172,0.002216613,7.599861381875072e-05,0.017536399955957904,0.004157086770105765,0.008615702,0.05559044702108513,0.5143785704254984,0.14568545165184002
V249,6.02263069152832,7.826126e-05,5.5388981112791666e-08,0.017978134211054764,0.0008795513955264798,0.00030419193,0.05253746751141243,0.5273355419370599,0.14526418819256506
V256,38.8469352722168,0.00012122418,-1.538220289971637e-05,0.01778807530118831,0.005673247768399124,0.0004711835,0.051916863740745285,0.5217607243804769,0.1449555048489819
V252,41.866920471191406,0.00029920696,8.756011517174755e-07,0.01772348536575774,0.0061142896207517505,0.0011629808,0.05257044070890034,0.5198661691277402,0.14492847006423887
V255,18.337478637695312,5.2686246e-05,6.290063733427331e-07,0.01781085898885637,0.002678024895152428,0.00020478497,0.052560527397908084,0.5224290166594595,0.14446808848069623
V191,23.384056091308594,0.00011801653,9.651340249883233e-06,0.017511437664772034,0.003415032437089496,0.00045871575,0.052923232570270644,0.5136463752379468,0.14261083899769691
V247,43.37154006958008,0.00028593067,2.1495477145361265e-06,0.017301431512325216,0.0063340258681296255,0.0011113774,0.05262165439861419,0.5074864641531489,0.14188838044993743
V274,28.636472702026367,0.0011659698,-1.3636311868636675e-05,0.017228262095117186,0.004182100948585915,0.0045319814,0.051987049982577964,0.5053402551070016,0.1415103468654157
V204,28.72576904296875,0.00083460455,0.00023367624702057553,0.016808244491860913,0.004195141881247079,0.0032440054,0.061929216336294404,0.4930202775255651,0.1405971602798949
V211,26.10554313659668,0.00064678676,0.00026742634652154873,0.016770192472768786,0.003812481301413425,0.0025139807,0.06328599783255263,0.49190413377704373,0.1403791484091975
V312,309.1183776855469,0.044731002,0.00186368594229267,0.007166774674633336,0.04514397684364899,0.17386392,0.12745693406059114,0.21021619722166027,0.139170256428772
V194,26.356197357177734,0.00024999486,4.165554872370691e-07,0.016886425213546108,0.0038490871105354724,0.00097169937,0.052551986699202184,0.49531347840808726,0.13817156289604274
V273,26.88555335998535,0.0005746461,0.0001381530174016543,0.016522037045568094,0.003926394824530734,0.0022335788,0.05808910468251864,0.48462522623573545,0.1372185761415729
V232,17.277132034301758,6.760397e-05,-1.280927091955597e-05,0.01671352340191712,0.0025231707487628047,0.00026276833,0.05202029770252403,0.4902419137247394,0.1362620376259958
V217,44.72709274291992,0.0017203364,-0.0005531951714131455,0.01707058212420165,0.0065319922231350585,0.0066867364,0.03029634424847855,0.5007151782253174,0.13605756276521216
V275,44.27204132080078,0.0003150646,-8.412979210374872e-05,0.01653248400499918,0.006465536029179118,0.0012246174,0.04915315464585199,0.48493165697813134,0.13544374125263206
V263,30.769161224365234,0.0009950529,-0.0002224019337522032,0.016632722391435317,0.004493561050013859,0.0038676483,0.04359450190080716,0.487871854398712,0.13495689141465744
V231,27.99529457092285,0.00022662355,7.309107169315432e-05,0.016085059473151864,0.004088462611972244,0.00088085793,0.05547356145885185,0.47180777798113516,0.13306266499538666
V202,15.660418510437012,0.0005635108,0.0002214842218000612,0.01586290847330596,0.0022870641852170788,0.0021902975,0.06143908698954595,0.465291633618192,0.13280202056561294
V90,581.9939575195312,0.02982697,-1.8763965752510715e-06,0.00946883652060726,0.08499501691915679,0.115933776,0.052459808158214445,0.2777403917163717,0.13278224817388434
V203,31.242284774780273,0.0019069802,7.489386921151197e-05,0.015715889560718788,0.004562656516818647,0.007412198,0.055546035387834994,0.46097926743858697,0.1321250393357242
V196,12.952232360839844,7.024538e-05,-1.3543743982546986e-06,0.016145179620488337,0.0018915577978547795,0.0002730352,0.05248079387502291,0.47357122518343275,0.13205415301380655
V53,113.25968933105469,0.024879318,0.0011286680944833983,0.010800972053945701,0.016540565561848426,0.09670285,0.09790861775715583,0.3168146585540664,0.13199167330703662
V83,146.2314453125,0.021181978,0.000652748897840949,0.01138510817437055,0.021355795894206654,0.08233175,0.07877627831916575,0.3339485687815158,0.12910309745288084
V179,24.87270164489746,0.00024937998,-0.00010698874868446673,0.01573986430024621,0.0036324358179650905,0.0009693094,0.048234205968038624,0.46168249571094677,0.12862961172873677
V233,23.097265243530273,0.00038860535,-0.0001347242118520775,0.01572919146081664,0.0033731491964746484,0.0015104613,0.047119217752525935,0.46136943944501124,0.12834306693017508
V251,32.62287902832031,0.0004173397,-4.850329602690273e-06,0.01532935165893945,0.004764279970845982,0.0016221482,0.05234025362763819,0.44964131815413433,0.12709199999000184
V151,46.29979705810547,0.0005862197,1.598161789964081e-05,0.015064098207887344,0.006761671635010293,0.002278564,0.0531777148890893,0.44186089051247024,0.12601971026718425
V82,128.7600555419922,0.02230978,0.001062593972053727,0.010319064106441456,0.018804255538917555,0.08671538,0.09525238420467418,0.30267931026499506,0.12586283196895215
V2,95.15384674072266,0.021492565,0.0001281412693987738,0.011839858351144539,0.013896369041562018,0.083538964,0.05768662425619821,0.3472873239660014,0.1256023204136291
V197,126.28145599365234,0.0001776277,1.0005677977620308e-05,0.014617490155310886,0.018442278223130923,0.0006904171,0.0529374772356058,0.428760960526741,0.12520778326466978
V310,111.41160583496094,0.028415235,-0.00024822495956922097,0.011224316471470264,0.01627066948133245,0.11044653,0.04255639522485742,0.32923221841987665,0.12462645268158873
V23,61.37770462036133,0.0035055992,-0.00021489255368514203,0.014454469809015658,0.008963665301441806,0.013625834,0.043896385097420124,0.423979239484326,0.1226162810050973
