feature,global_mean,fp_mean,fp_std,deviation,abs_deviation
V137,78.50752184374362,30.331721452078327,171.63096058463623,-0.08848573130051578,0.08848573130051578
V207,15.996243549862019,3.125591569055585,46.248772615574055,-0.08835001956193336,0.08835001956193336
V317,1098.0611158609195,244.75994700963693,1635.4971375323398,-0.08790453843115216,0.08790453843115216
V175,0.1379641232318443,0.06046993780234969,0.27602541806026404,-0.08783994484283388,0.08783994484283388
V149,0.9714272812454138,0.9993089149965446,0.17440691840348746,0.08735144454513188,0.08735144454513188
V119,1.000541876926203,1.003800967519005,0.06154534117900627,0.08642190361724238,0.08642190361724238
V316,597.951191692573,97.36424424958048,385.0851904303214,-0.08630382702199586,0.08630382702199586
V308,953.652429486892,303.0854965726631,905.9037660565015,-0.08551730042006182,0.08551730042006182
V339,64.70688748206533,12.311679336558397,122.94741985426433,-0.08407957823295201,0.08407957823295201
V181,0.20023481333468804,0.08327574291637871,0.39304819136057495,-0.0831953515729558,0.0831953515729558
V260,0.9979905397319967,1.0141672425708361,0.33999407441543233,0.08298963719257964,0.08298963719257964
V306,646.561440336627,158.48060688176645,457.7747453688629,-0.08228729410694571,0.08228729410694571
card5,197.93120420857747,194.41603317208018,46.17265384814756,-0.0821886001214659,0.0821886001214659
V146,0.024915049502715027,0.05286800276434001,0.3638101533961868,0.08021018432073174,0.08021018432073174
V147,0.026100405278784388,0.055286800276434005,0.3667639108707922,0.07979862806787409,0.07979862806787409
id_24,11.013366297513011,11.037318590186594,0.47472210375101026,0.07911015798496344,0.07911015798496344
V153,0.9687291857170274,0.9910158949550795,0.14130693765240623,0.07684142917675298,0.07684142917675298
D8,48.135545877691946,42.218368385344974,71.84924371707447,-0.07587148110548957,0.07587148110548957
V161,0.2754964382881205,0.7550103662750518,11.49212300827668,0.0736399189255833,0.0736399189255833
V154,0.9696548921326243,0.9913614374568072,0.14010025043372892,0.0725820579320182,0.0725820579320182
V186,1.0278615052889446,1.0583966827919835,0.3193987181739404,0.07196569960120493,0.07196569960120493
V174,0.04141971754665222,0.056668970283344854,0.24714497584457698,0.07144847431862955,0.07144847431862955
V334,1.8740926383761756,0.039046302695231516,1.8744362229077987,-0.07096484336106315,0.07096484336106315
V7,1.0659283593547149,1.044574982722875,0.23015784363363942,-0.07088167435539007,0.07088167435539007
C8,1.4275634729795328,2.8997926744989635,25.551483444478965,0.07064531509771867,0.07064531509771867
C10,1.3822377259231664,2.760539046302695,24.11124016658881,0.07039650035348,0.07039650035348
V155,0.970659622266626,0.9941257774706289,0.1587413096624931,0.07038944730361667,0.07038944730361667
V194,0.9880899967261603,1.0,0.13662263685599962,0.07021710872341563,0.07021710872341563
